section,claim_id,value,unit,type,status,source,notes,notes_connectivity,notes_dbcomparison
5.2.table2,sec5_2_table2_perpair_aggregate_gbps_mean,2570.3,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=per-pair, mean(total_gbps)",,,
5.2.table2,sec5_2_table2_perpair_aggregate_gbps_std,11.5,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=per-pair, std(total_gbps)",,,
5.2.table2,sec5_2_table2_perpair_perpair_mean_gbps,107.1,Gbps,DERIVED,OK,"track1_per_pair_per_pair.csv, mean(mean_gbps) across 24 pairs",,,
5.2.table2,sec5_2_table2_perpair_retransmits,13,count,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=per-pair, mean(total_retransmits) rounded",,,
5.2.table2,sec5_2_table2_stinbound_aggregate_gbps_mean,2458.0,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=st-inbound, mean(total_gbps)",,,
5.2.table2,sec5_2_table2_stinbound_aggregate_gbps_std,34.1,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=st-inbound, std(total_gbps)",,,
5.2.table2,sec5_2_table2_stinbound_perpair_mean_gbps,102.4,Gbps,DERIVED,OK,"track1_st_inbound_per_pair.csv, mean(mean_gbps) across 24 pairs",,,
5.2.table2,sec5_2_table2_stinbound_retransmits,19,count,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=st-inbound, mean(total_retransmits) rounded",,,
5.2.table2,sec5_2_table2_appoutbound_aggregate_gbps_mean,522.9,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=app-outbound, mean(total_gbps)",,,
5.2.table2,sec5_2_table2_appoutbound_aggregate_gbps_std,4.3,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=app-outbound, std(total_gbps)",,,
5.2.table2,sec5_2_table2_appoutbound_retransmits,21,count,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=app-outbound, mean(total_retransmits) rounded",,,
5.2.table2,sec5_2_table2_fullmesh_aggregate_gbps_mean,529.0,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=full-mesh, mean(total_gbps)",,,
5.2.table2,sec5_2_table2_fullmesh_aggregate_gbps_std,14.0,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=full-mesh, std(total_gbps)",,,
5.2.table2,sec5_2_table2_fullmesh_perpair_mean_gbps,22.0,Gbps,DERIVED,OK,"track1_full_mesh_per_pair.csv, mean(mean_gbps) across 24 pairs",,,
5.2.table2,sec5_2_table2_fullmesh_retransmits,20,count,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=full-mesh, mean(total_retransmits) rounded",,,
5.2.table2,sec5_2_table2_ststst_aggregate_gbps_mean,1378.6,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=st-to-st, mean(total_gbps)",,,
5.2.table2,sec5_2_table2_ststst_aggregate_gbps_std,31.1,Gbps,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=st-to-st, std(total_gbps)",,,
5.2.table2,sec5_2_table2_ststst_perpair_mean_gbps,86.2,Gbps,DERIVED,OK,"track1_st_to_st_per_pair.csv, mean(mean_gbps) across 16 pairs",,,
5.2.table2,sec5_2_table2_ststst_retransmits,199,count,DERIVED,OK,"track1_aggregate_per_rep.csv, mode=st-to-st, mean(total_retransmits) rounded",,,
5.2.prose,sec5_2_prose_perpair_range_min_gbps,98.0,Gbps,DERIVED,OK,"track1_per_pair_per_pair.csv, min(mean_gbps)",,,
5.2.prose,sec5_2_prose_perpair_range_max_gbps,112.7,Gbps,DERIVED,OK,"track1_per_pair_per_pair.csv, max(mean_gbps)",,,
