mode,rep,total_gbps,total_retransmits,n_pairs
app-outbound,1,522.0731949965408,23,24
app-outbound,2,519.0989370664973,23,24
app-outbound,3,527.5418868312678,18,24
full-mesh,1,522.9181786521866,38,24
full-mesh,2,545.004005544278,15,24
full-mesh,3,519.1875257166578,6,24
per-pair,1,2573.89177404432,9,24
per-pair,2,2557.487690261941,14,24
per-pair,3,2579.628304053242,16,24
rds02-fanout,1,373.38128225748875,3,8
rds02-fanout,2,384.5640790526316,2,8
rds02-fanout,3,375.5260756675271,5,8
st-inbound,1,2478.1104239991228,16,24
st-inbound,2,2418.5256044639877,20,24
st-inbound,3,2477.2282906375576,20,24
st-to-st,1,1342.7666846370357,559,16
st-to-st,2,1398.8371907991584,38,16
st-to-st,3,1394.061064668162,1,16
