client,server,condition,repetition,n_pings,mean_ms,std_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,mdev_ms,packet_loss
srv01,st01,idle,1,500,0.060809999999999996,0.016003190438422486,0.031,0.146,0.058499999999999996,0.09105,0.10901,0.016,0.0
srv01,st01,idle,2,500,0.06475399999999999,0.016649922637889204,0.034,0.126,0.063,0.095,0.108,0.016,0.0
srv01,st01,idle,3,500,0.06401000000000001,0.01832401263036444,0.029,0.261,0.062,0.09305000000000001,0.10403999999999995,0.018,0.0
srv01,st01,50pct,1,500,0.04995199999999999,0.020923318726556412,0.027,0.182,0.044,0.09115000000000002,0.13101999999999997,0.02,0.0
srv01,st01,50pct,2,500,0.057778,0.030003552161112012,0.027,0.459,0.051,0.10105000000000001,0.15913999999999986,0.029,0.0
srv01,st01,50pct,3,500,0.042513999999999996,0.019709356190471716,0.022,0.22,0.037,0.07305,0.125,0.019,0.0
srv01,st01,100pct,1,500,0.088946,0.10747994678973305,0.027,0.774,0.052,0.30715000000000003,0.6031999999999997,0.107,0.0
srv01,st01,100pct,2,500,0.17909400000000003,0.36112112940702934,0.027,2.59,0.067,0.7325500000000004,2.0007999999999995,0.36,0.0
srv01,st01,100pct,3,500,0.04916,0.0271397777269848,0.029,0.53,0.044,0.08120000000000004,0.11807999999999992,0.027,0.0
srv01,st02,idle,1,500,0.04638199999999999,0.007859237318114583,0.03,0.131,0.045,0.05810000000000003,0.07,0.007,0.0
srv01,st02,idle,2,500,0.048013999999999994,0.012621426417391153,0.03,0.242,0.046,0.06205000000000001,0.07300999999999998,0.012,0.0
srv01,st02,idle,3,500,0.05719799999999999,0.017272738375311653,0.029,0.238,0.054,0.08,0.09301999999999998,0.017,0.0
srv01,st02,50pct,1,500,0.03949599999999998,0.023051784171881664,0.024,0.227,0.034,0.06720000000000005,0.16205999999999993,0.023,0.0
srv01,st02,50pct,2,500,0.047127999999999996,0.04962665842521444,0.027,1.11,0.042,0.07,0.10110999999999991,0.049,0.0
srv01,st02,50pct,3,500,0.051997999999999996,0.030939950825982714,0.026,0.299,0.044,0.10010000000000002,0.21306999999999995,0.03,0.0
srv01,st02,100pct,1,500,0.046757999999999994,0.017548428153578956,0.029,0.194,0.042,0.081,0.11302999999999996,0.017,0.0
srv01,st02,100pct,2,500,0.12010199999999999,0.24828462317310032,0.026,2.12,0.046,0.41305000000000025,1.5812999999999988,0.247,0.0
srv01,st02,100pct,3,500,0.044823999999999996,0.014769878897448368,0.028,0.136,0.041,0.071,0.10304999999999995,0.014,0.0
srv01,st03,idle,1,500,0.059014000000000004,0.013478172214825904,0.033,0.114,0.056,0.085,0.09903999999999996,0.013,0.0
srv01,st03,idle,2,500,0.059168,0.01468588186839677,0.03,0.148,0.057,0.08505000000000003,0.09902999999999998,0.014,0.0
srv01,st03,idle,3,500,0.055492,0.012349208148046072,0.033,0.128,0.053,0.077,0.08907999999999992,0.012,0.0
srv01,st03,50pct,1,500,0.052596,0.015837247893547776,0.028,0.213,0.05,0.07505,0.09809999999999991,0.015,0.0
srv01,st03,50pct,2,500,0.058322,0.05416054879792287,0.028,0.877,0.047,0.11505000000000001,0.22723999999999978,0.054,0.0
srv01,st03,50pct,3,500,0.050488000000000005,0.01567025749437066,0.028,0.141,0.047,0.08,0.1,0.015,0.0
srv01,st03,100pct,1,500,0.1024,0.1919602497262126,0.029,1.91,0.055,0.22720000000000004,1.2026999999999974,0.191,0.0
