client,server,condition,mean_rtt_ms,std_rtt_ms,worst_max_ms,mean_p95_ms,mean_p99_ms,max_packet_loss,n_reps
srv01,st01,100pct,0.10573333333333335,0.06657380873386572,2.59,0.37363333333333343,0.9073599999999997,0.0,3
srv01,st01,50pct,0.05008133333333333,0.007632821846036588,0.459,0.08841666666666669,0.13838666666666663,0.0,3
srv01,st01,idle,0.06319133333333334,0.0020955775655731143,0.261,0.09303333333333334,0.10701666666666665,0.0,3
srv01,st02,100pct,0.07056133333333332,0.042914372060340496,2.12,0.1883500000000001,0.5991266666666663,0.0,3
srv01,st02,50pct,0.04620733333333332,0.0063016443356740965,1.11,0.07910000000000002,0.1587466666666666,0.0,3
srv01,st02,idle,0.050531333333333324,0.005830882380337759,0.242,0.06671666666666669,0.07867666666666666,0.0,3
srv01,st03,100pct,0.07722133333333332,0.022999952115892192,1.91,0.1628166666666667,0.549139999999999,0.0,3
srv01,st03,50pct,0.053801999999999996,0.004053851995324938,0.877,0.09003333333333334,0.1417799999999999,0.0,3
srv01,st03,idle,0.05789133333333333,0.0020793098213910633,0.148,0.08235000000000002,0.09571666666666662,0.0,3
srv01,st04,100pct,0.08081133333333333,0.03292297266853851,0.534,0.2193833333333334,0.2884,0.0,3
srv01,st04,50pct,0.05932733333333332,0.026637994393972932,0.428,0.13136666666666666,0.18102333333333331,0.0,3
srv01,st04,idle,0.048068,0.0035500811258336036,0.831,0.06070000000000001,0.08179999999999958,0.0,3
srv01,st05,100pct,0.06263533333333333,0.010267137153721743,1.86,0.11136666666666668,0.3191866666666659,0.0,3
srv01,st05,50pct,0.053343999999999996,0.007564237701183122,0.244,0.08675000000000004,0.1260433333333333,0.0,3
srv01,st05,idle,0.060335999999999994,0.0027064988453720075,0.237,0.08366666666666667,0.09368666666666664,0.0,3
srv01,st06,100pct,0.09412733333333334,0.025608335543985162,1.58,0.22873333333333334,0.31438666666666665,0.0,3
srv01,st06,50pct,0.04662666666666666,0.009419866736495443,4.67,0.07566666666666667,0.11542333333333325,0.0,3
srv01,st06,idle,0.050364,0.0018991914068887293,0.141,0.06936666666666667,0.08337999999999995,0.0,3
srv01,st07,100pct,0.07870733333333334,0.023927057013626508,1.25,0.18958333333333335,0.3426366666666663,0.0,3
srv01,st07,50pct,0.04373133333333332,0.005954338362348363,0.222,0.06670000000000001,0.08602666666666665,0.0,3
srv01,st07,idle,0.06030266666666667,0.002764660075548763,0.645,0.0877,0.10634666666666666,0.0,3
srv01,st08,100pct,0.06369266666666666,0.016630912702955695,1.5,0.1336333333333334,0.25446666666666595,0.0,3
srv01,st08,50pct,0.04851,0.0006717350668232156,0.794,0.0947,0.16968666666666662,0.0,3
srv01,st08,idle,0.047757999999999995,0.003915897342883232,0.132,0.06401666666666667,0.07735333333333332,0.0,3
srv02,st01,100pct,0.09096533333333334,0.026965262567483612,0.628,0.217,0.31343333333333323,0.0,3
srv02,st01,50pct,0.042091333333333335,0.007709449094023089,0.331,0.06638333333333335,0.09770333333333331,0.0,3
srv02,st01,idle,0.055918,0.0041850648740491495,0.247,0.07940000000000001,0.09534666666666665,0.0,3
srv02,st02,100pct,0.06318133333333333,0.0031504097088050804,1.08,0.12171666666666668,0.1799099999999995,0.0,3
