host,repetition,epoch,rx_errors_delta,tx_errors_delta,rx_drops_delta,tx_drops_delta,rx_packets,tx_packets,loss_pct,role
srv01,1,1774110653,0,0,0,0,154959865,733385466,0.0,app
srv02,1,1774110653,0,0,0,0,159404033,696813499,0.0,app
srv03,1,1774110653,0,0,0,0,158870153,707638623,0.0,app
st01,1,1774110653,0,0,0,0,277240050,60815699,0.0,storage
st02,1,1774110653,0,0,0,0,208484325,47972986,0.0,storage
st03,1,1774110653,0,0,0,0,303726610,64988345,0.0,storage
st04,1,1774110653,0,0,0,0,326804883,72281159,0.0,storage
st05,1,1774110653,0,0,0,0,353437594,74462691,0.0,storage
st06,1,1774110653,0,0,0,0,196221740,47407805,0.0,storage
st07,1,1774110653,0,0,0,0,207933447,48524420,0.0,storage
st08,1,1774110653,0,0,0,0,266220302,58990475,0.0,storage
srv01,2,1774111035,0,0,0,0,165862935,751003250,0.0,app
srv02,2,1774111035,0,0,0,0,161058087,707015200,0.0,app
srv03,2,1774111035,0,0,0,0,159166114,730335110,0.0,app
st01,2,1774111035,0,0,0,0,320823554,70981431,0.0,storage
st02,2,1774111035,0,0,0,0,279886365,62787290,0.0,storage
st03,2,1774111035,0,0,0,0,288714646,61711847,0.0,storage
st04,2,1774111035,0,0,0,0,263166604,59737164,0.0,storage
st05,2,1774111035,0,0,0,0,325978907,70851497,0.0,storage
st06,2,1774111035,0,0,0,0,239852983,54260976,0.0,storage
st07,2,1774111035,0,0,0,0,242444225,54004415,0.0,storage
st08,2,1774111035,0,0,0,0,229285323,53527982,0.0,storage
srv01,3,1774111414,0,0,0,0,167367555,739295185,0.0,app
srv02,3,1774111414,0,0,0,0,156129306,693987815,0.0,app
srv03,3,1774111414,0,0,0,0,166578183,725080197,0.0,app
st01,3,1774111414,0,0,0,0,291630458,67290974,0.0,storage
st02,3,1774111414,3,0,0,0,246562952,57655548,0.0,storage
st03,3,1774111414,0,0,0,0,260018206,58665493,0.0,storage
st04,3,1774111414,0,0,0,0,239793819,54419163,0.0,storage
st05,3,1774111414,0,0,0,0,264629304,59644190,0.0,storage
st06,3,1774111414,0,0,0,0,244870592,56169870,0.0,storage
st07,3,1774111414,0,0,0,0,331892759,74804615,0.0,storage
st08,3,1774111414,0,0,0,0,281058130,63493774,0.0,storage
