host,role,total_rx_errors,total_tx_errors,total_rx_drops,total_tx_drops,mean_rx_packets,mean_tx_packets,max_loss_pct,n_reps
srv01,app,0,0,0,0,1.6273011833333334e8,7.41227967e8,0.0,3
srv02,app,0,0,0,0,1.5886380866666666e8,6.992721713333334e8,0.0,3
srv03,app,0,0,0,0,1.6153815e8,7.210179766666666e8,0.0,3
st01,storage,0,0,0,0,2.965646873333333e8,6.6362701333333336e7,0.0,3
st02,storage,3,0,0,0,2.4497788066666666e8,5.6138608e7,0.0,3
st03,storage,0,0,0,0,2.84153154e8,6.1788561666666664e7,0.0,3
st04,storage,0,0,0,0,2.765884353333333e8,6.2145828666666664e7,0.0,3
st05,storage,0,0,0,0,3.14681935e8,6.831945933333333e7,0.0,3
st06,storage,0,0,0,0,2.2698177166666666e8,5.2612883666666664e7,0.0,3
st07,storage,0,0,0,0,2.6075681033333334e8,5.911115e7,0.0,3
st08,storage,0,0,0,0,2.58854585e8,5.8670743666666664e7,0.0,3
