mode,rep,client,server,stream_idx,gbps
per-pair,1,srv01,st01,1,13.164218082900694
per-pair,1,srv01,st01,2,10.787302290202405
per-pair,1,srv01,st01,3,10.68489271336826
per-pair,1,srv01,st01,4,14.696385936994812
per-pair,1,srv01,st01,5,11.063598435210563
per-pair,1,srv01,st01,6,10.989237897765292
per-pair,1,srv01,st01,7,14.84003896115465
per-pair,1,srv01,st01,8,15.934912679355874
per-pair,2,srv01,st01,1,14.003011230057382
per-pair,2,srv01,st01,2,10.63364104480829
per-pair,2,srv01,st01,3,12.641243883280135
per-pair,2,srv01,st01,4,14.658764369775595
per-pair,2,srv01,st01,5,13.49695777839253
per-pair,2,srv01,st01,6,9.96059537166388
per-pair,2,srv01,st01,7,13.168757901945867
per-pair,2,srv01,st01,8,15.059227637548505
per-pair,3,srv01,st01,1,13.546549743761707
per-pair,3,srv01,st01,2,10.584055715266414
per-pair,3,srv01,st01,3,9.66761235777062
per-pair,3,srv01,st01,4,14.770955817615068
per-pair,3,srv01,st01,5,9.680015974723
per-pair,3,srv01,st01,6,13.591637918100744
per-pair,3,srv01,st01,7,9.768536468936492
per-pair,3,srv01,st01,8,10.434329771991335
per-pair,1,srv01,st02,1,13.618070309923667
per-pair,1,srv01,st02,2,14.32016133507441
per-pair,1,srv01,st02,3,9.725536599921961
per-pair,1,srv01,st02,4,8.93544499337888
per-pair,1,srv01,st02,5,10.063400812027636
per-pair,1,srv01,st02,6,13.482063056485897
per-pair,1,srv01,st02,7,9.131403789755069
per-pair,1,srv01,st02,8,14.484794336167953
per-pair,2,srv01,st02,1,10.840454588579252
per-pair,2,srv01,st02,2,10.815551077715599
per-pair,2,srv01,st02,3,12.657580764597308
per-pair,2,srv01,st02,4,11.25791607332
per-pair,2,srv01,st02,5,11.316592240144368
per-pair,2,srv01,st02,6,11.971117672159144
per-pair,2,srv01,st02,7,12.701052682683862
per-pair,2,srv01,st02,8,14.926989650195292
per-pair,3,srv01,st02,1,13.173289816635556
per-pair,3,srv01,st02,2,13.820957414962018
per-pair,3,srv01,st02,3,14.660032983355148
per-pair,3,srv01,st02,4,15.148361420112762
per-pair,3,srv01,st02,5,13.313274097871252
per-pair,3,srv01,st02,6,14.119450738745504
per-pair,3,srv01,st02,7,15.914867109875274
per-pair,3,srv01,st02,8,14.001355385380933
per-pair,1,srv01,st03,1,14.251709719383324
per-pair,1,srv01,st03,2,15.044903434758567
per-pair,1,srv01,st03,3,12.7897516855697
per-pair,1,srv01,st03,4,14.111027606273531
per-pair,1,srv01,st03,5,12.855199451233817
per-pair,1,srv01,st03,6,12.894651609040695
per-pair,1,srv01,st03,7,12.92377979686998
per-pair,1,srv01,st03,8,13.795235583429562
per-pair,2,srv01,st03,1,12.877412586490449
per-pair,2,srv01,st03,2,16.55016906257819
per-pair,2,srv01,st03,3,12.558389132528541
per-pair,2,srv01,st03,4,10.491873520298277
per-pair,2,srv01,st03,5,13.046586461247141
per-pair,2,srv01,st03,6,10.466576737290573
per-pair,2,srv01,st03,7,14.884775669335344
per-pair,2,srv01,st03,8,12.955011232949827
per-pair,3,srv01,st03,1,13.34625705146501
per-pair,3,srv01,st03,2,13.136486714280178
per-pair,3,srv01,st03,3,10.366708244893061
per-pair,3,srv01,st03,4,14.705681382689052
per-pair,3,srv01,st03,5,14.477486837229204
per-pair,3,srv01,st03,6,12.768933152612542
per-pair,3,srv01,st03,7,10.116624848719947
per-pair,3,srv01,st03,8,15.645241731169628
per-pair,1,srv01,st04,1,12.103928762309705
per-pair,1,srv01,st04,2,11.756549357856485
per-pair,1,srv01,st04,3,10.109129510828744
per-pair,1,srv01,st04,4,13.068604557848266
per-pair,1,srv01,st04,5,11.411703974967635
per-pair,1,srv01,st04,6,9.805964413671044
per-pair,1,srv01,st04,7,13.224709024218704
per-pair,1,srv01,st04,8,13.315715350401078
per-pair,2,srv01,st04,1,13.256697183289551
per-pair,2,srv01,st04,2,14.042336553506688
per-pair,2,srv01,st04,3,9.82445700238665
per-pair,2,srv01,st04,4,13.243249376962545
per-pair,2,srv01,st04,5,9.987508377345659
per-pair,2,srv01,st04,6,10.539401455717087
per-pair,2,srv01,st04,7,10.217274502991268
per-pair,2,srv01,st04,8,9.767135618692594
per-pair,3,srv01,st04,1,10.1756587700774
per-pair,3,srv01,st04,2,10.561733968153796
per-pair,3,srv01,st04,3,14.396752262696012
per-pair,3,srv01,st04,4,14.106166953594537
per-pair,3,srv01,st04,5,14.17698920379052
per-pair,3,srv01,st04,6,14.925101103917505
per-pair,3,srv01,st04,7,15.358139187086845
per-pair,3,srv01,st04,8,14.510653315293748
per-pair,1,srv01,st05,1,12.296713782183739
per-pair,1,srv01,st05,2,13.474563947412825
per-pair,1,srv01,st05,3,12.78504166143614
per-pair,1,srv01,st05,4,12.608008059688736
per-pair,1,srv01,st05,5,11.748049426126508
per-pair,1,srv01,st05,6,15.07114314500793
per-pair,1,srv01,st05,7,13.387357859286512
per-pair,1,srv01,st05,8,13.083534644441633
per-pair,2,srv01,st05,1,13.409598073503737
per-pair,2,srv01,st05,2,12.415466012483533
per-pair,2,srv01,st05,3,14.688984956814567
per-pair,2,srv01,st05,4,13.485781077582182
per-pair,2,srv01,st05,5,12.218553241145832
per-pair,2,srv01,st05,6,11.533268835014958
per-pair,2,srv01,st05,7,11.68277748900156
per-pair,2,srv01,st05,8,13.694066468041072
per-pair,3,srv01,st05,1,10.507536505796585
per-pair,3,srv01,st05,2,13.221047373951038
per-pair,3,srv01,st05,3,10.822892360860969
per-pair,3,srv01,st05,4,15.25443291711418
per-pair,3,srv01,st05,5,12.825301553062536
per-pair,3,srv01,st05,6,9.90915554279273
per-pair,3,srv01,st05,7,13.80195225742791
per-pair,3,srv01,st05,8,9.897402879310835
per-pair,1,srv01,st06,1,12.94711876478288
per-pair,1,srv01,st06,2,10.72304648397207
per-pair,1,srv01,st06,3,13.106717555530569
per-pair,1,srv01,st06,4,14.502169342139167
per-pair,1,srv01,st06,5,10.818071770004433
per-pair,1,srv01,st06,6,12.984866740475736
per-pair,1,srv01,st06,7,13.051974252818592
per-pair,1,srv01,st06,8,13.684209155887253
per-pair,2,srv01,st06,1,13.423153582068727
per-pair,2,srv01,st06,2,13.768132395233984
per-pair,2,srv01,st06,3,13.822221018676053
per-pair,2,srv01,st06,4,14.518426361607714
per-pair,2,srv01,st06,5,13.074242639574077
per-pair,2,srv01,st06,6,11.60266508321235
