epoch,qualifier,size_str,rep,host,n_hosts,n_clients,concurrency,total_requests,total_errors,throughput_mibs,throughput_gbps,ops_per_sec,duration_s,total_bytes,total_ops,n_segments,seg_median_mibs,seg_p10_mibs,seg_p90_mibs,seg_min_mibs,seg_max_mibs,seg_std_mibs,ttfb_avg_ms,ttfb_median_ms,ttfb_p99_ms,experiment,operation,rate,size_bytes,excluded
1774487016,put_single,4MiB,1,srv01,1,1,32,428072,0,5707.722987735048,47.87985071669813,1426.915824915825,297.0,1.777539457857418e12,423794,297,5711.502743721008,5654.150720977783,5758.263936233521,5562.561938285828,5793.427251815796,40.93322918924285,,,,single,PUT,100gbps,4194304,false
1774487765,put_single,64MiB,1,srv01,1,1,32,34458,0,7350.03859104713,61.65659252516668,114.83164983164983,297.0,2.289000997496813e12,34105,297,7361.2026014328,7145.684034347534,7535.755215454102,6982.808316230774,7738.958837509155,151.29322593591448,,,,single,PUT,100gbps,67108864,false
1774488543,put_single,512MiB,1,srv01,1,1,32,4400,0,7489.315379358167,62.82493090580695,14.644295302013424,298.0,2.340228676241309e12,4364,298,7487.637261867523,7367.373621559143,7610.263715362549,7074.828195571899,8145.016616821289,103.76572831916455,,,,single,PUT,100gbps,536870912,false
1774489461,put_single,2GiB,1,srv01,1,1,32,1096,0,7423.276387746707,62.270955692463126,3.546666666666667,300.0,2.335160838467367e12,1064,300,7443.377995491028,7198.472819709778,7524.497862815857,6925.267822265625,9127.733006477356,191.83559364713483,,,,single,PUT,100gbps,2147483648,false
1774490910,put_single,4MiB,2,srv01,1,1,32,416526,0,5552.400851815777,46.57691420474864,1388.1043771043771,297.0,1.7291679398512932e12,412267,297,5645.661360740662,5411.653016281129,5740.767088317871,3793.0916328430176,5801.186986923218,343.1178987912156,,,,single,PUT,100gbps,4194304,false
1774491653,put_single,64MiB,2,srv01,1,1,32,32945,0,7026.279598678243,58.9407052517091,109.7751677852349,298.0,2.1955412706261638e12,32713,298,7021.888830661774,6803.725134754181,7246.431425476074,6498.232851982117,7439.504561424255,171.9985347834841,,,,single,PUT,100gbps,67108864,false
1774492418,put_single,512MiB,2,srv01,1,1,32,4264,0,7258.432166294336,60.88814213763399,14.164429530201343,298.0,2.268083294626866e12,4221,298,7262.2151527404785,7095.691766548157,7437.169751834869,6431.332483291626,7630.871933937073,150.22021115068597,,,,single,PUT,100gbps,536870912,false
1774493340,put_single,2GiB,2,srv01,1,1,32,1080,0,7240.64908512861,60.73896684070254,3.4473684210526314,304.0,2.3080807399466963e12,1048,304,7288.568098068237,7057.708046150207,7381.029772758484,5482.865943908691,8629.3848361969,210.02191158152434,,,,single,PUT,100gbps,2147483648,false
1774494802,put_single,4MiB,3,srv01,1,1,32,410270,0,5468.9742304228985,45.87708098111937,1367.2491582491582,297.0,1.7031866314240566e12,406073,297,5628.9546184539795,4862.719460487366,5728.9967817306515,3600.6232290267944,5831.448088645935,454.11326673975975,,,,single,PUT,100gbps,4194304,false
1774495545,put_single,64MiB,3,srv01,1,1,32,32459,0,6922.078720101075,58.066604928069644,108.15151515151516,297.0,2.1557227079545854e12,32121,297,7087.611659049988,6367.5786485672,7334.664429283142,4716.970364570618,7584.580906867981,604.2438495915347,,,,single,PUT,100gbps,67108864,false
1774496310,put_single,512MiB,3,srv01,1,1,32,4325,0,7359.17954688042,61.73327242039747,14.39261744966443,298.0,2.2995643976598057e12,4289,298,7368.365273952484,7201.339012813569,7492.849543857574,7010.9348974227905,7996.309540748596,119.32533443671419,,,,single,PUT,100gbps,536870912,false
1774497229,put_single,2GiB,3,srv01,1,1,32,1064,0,7201.385642462176,60.40960121144335,3.4285714285714284,301.0,2.272911245580556e12,1032,301,7182.52139377594,7027.954842567444,7343.502046585083,4545.363752365112,8928.926209449768,232.85580535868536,,,,single,PUT,100gbps,2147483648,false
