size_str,host,mean_mibs,std_mibs,n_reps
2GiB,st01,2250.259095614647,260.6353854918549,3
2GiB,st02,2224.8563051576584,291.00000993387226,3
2GiB,st03,2121.9682486190036,309.49325181148157,3
2GiB,st04,2123.3618385356867,208.45470423700024,3
2GiB,st05,2190.0812695122913,124.45747622799617,3
2GiB,st06,2124.823701245737,164.2977409371675,3
2GiB,st07,2205.030709090705,263.00528112566485,3
2GiB,st08,2097.11625008684,296.47282889505243,3
4MiB,st01,2312.1174832775796,91.64482254807787,3
4MiB,st02,2334.068645609389,45.816417807788206,3
4MiB,st03,2127.0133970106594,6.302589244255319,3
4MiB,st04,2389.865112467074,21.256172896262463,3
4MiB,st05,2313.408621797231,75.17774149101552,3
4MiB,st06,2214.3166084923523,26.55939146308152,3
4MiB,st07,2284.41646293098,47.833841595252586,3
4MiB,st08,2350.9767592283843,70.22136767244957,3
512MiB,st01,2161.4909180332656,12.051327728232785,3
512MiB,st02,2161.6031337925015,94.34627378741786,3
512MiB,st03,2307.1090720907537,109.58728961428722,3
512MiB,st04,2389.9954513113953,266.1632643808718,3
512MiB,st05,2441.8341870432746,160.7416545213123,3
512MiB,st06,2344.4180953021564,124.08082455377757,3
512MiB,st07,2043.120899724823,96.52648749279432,3
512MiB,st08,2307.740398082516,211.1380066298226,3
64MiB,st01,2326.009723383458,406.9181166977076,3
64MiB,st02,2533.4775384849922,463.45923870017515,3
64MiB,st03,2214.2654038254987,27.941622536475133,3
64MiB,st04,2217.7856938456766,110.95100370967593,3
64MiB,st05,2327.3241867283996,190.12657853464702,3
64MiB,st06,2413.766283698518,380.04778559678226,3
64MiB,st07,2598.0334495619563,235.88847850173832,3
64MiB,st08,2403.4125856279447,124.72484567210196,3
