size_str,host,mean_mibs,std_mibs,n_reps
2GiB,st01,2070.302138048008,104.05060272576237,3
2GiB,st02,2103.871809672051,27.37929920299009,3
2GiB,st03,2121.0362677735898,33.61617774376372,3
2GiB,st04,2127.2789226251866,111.80350915606313,3
2GiB,st05,2067.3254882727238,40.86306177928801,3
2GiB,st06,2050.5394704560135,75.78122907042709,3
2GiB,st07,2049.1767570174206,26.640968429776212,3
2GiB,st08,2057.8911184709027,36.11261251111741,3
4MiB,st01,1666.7453631525723,5.495008307012934,3
4MiB,st02,1668.2236571982903,6.393118521709749,3
4MiB,st03,1660.5215048401317,6.364503486499203,3
4MiB,st04,1659.108021008806,8.715250235172459,3
4MiB,st05,1665.200609326181,10.06136317650406,3
4MiB,st06,1657.8835928750423,14.887106046026435,3
4MiB,st07,1664.8500465821717,3.8143605818569104,3
4MiB,st08,1664.505051795368,5.709800434454387,3
512MiB,st01,2092.9567561523,48.185905191967024,3
512MiB,st02,1974.3127269253328,12.101265129004462,3
512MiB,st03,1957.717905594632,50.24809844740965,3
512MiB,st04,1982.8839316013975,98.31071121898657,3
512MiB,st05,1986.5261166863777,32.29249367732395,3
512MiB,st06,1998.6286984377766,87.19841350969108,3
512MiB,st07,2018.1360726963287,16.635380582663057,3
512MiB,st08,2051.3536423648316,38.337013988480926,3
64MiB,st01,2088.9258631741873,106.49459513832178,3
64MiB,st02,2082.1072024206223,33.585801851014665,3
64MiB,st03,2019.8002271695157,26.24239816690682,3
64MiB,st04,2120.1471385402638,182.96137747789493,3
64MiB,st05,1956.2206064747713,40.62844259780072,3
64MiB,st06,2002.130423643881,61.45081402869995,3
64MiB,st07,1980.2632763882157,39.82730178053737,3
64MiB,st08,1948.3404033685417,48.3633698525471,3
