experiment,operation,rate,size_str,size_bytes,mean_mibs,std_mibs,mean_gbps,mean_ops,total_errors,mean_requests,mean_seg_median_mibs,mean_seg_p10_mibs,mean_seg_p90_mibs,mean_seg_std_mibs,mean_ttfb_ms,concurrency,n_hosts,n_clients,n_reps_effective,n_reps_original,excluded_reps
distributed,GET,100gbps,4MiB,4194304,18217.46055856819,164.13651275872914,152.81913538128958,4554.374833941384,0,2.7726326666666665e6,18403.844489415485,17769.74973278046,19285.181374931333,1483.4428997004525,2.5142469262295077,64,8,2,3,3,0
distributed,GET,100gbps,64MiB,67108864,18867.420788793985,519.7596742494267,158.27139696824352,294.7793497196364,4,185335.66666666666,19346.70365858078,18161.650512123106,19966.025042088826,1798.7269463981463,3.1956711775956284,64,8,2,3,3,0
distributed,GET,100gbps,512MiB,536870912,17945.846496928472,530.5853777891913,150.54067149090613,35.038479657906876,4,27260.666666666668,18851.041012446087,17147.189254411063,19403.373925781252,2959.528192476349,4.240445960690992,64,8,2,3,3,0
distributed,GET,100gbps,2GiB,2147483648,17287.34166675844,1799.6625613008898,145.01673260450318,8.402382146416917,3,10540.666666666666,18017.243544419605,14492.42080863317,19081.77841580709,2844.664466347533,6.092491758072529,64,8,2,3,3,0
distributed,PUT,100gbps,4MiB,4194304,13217.894822514942,56.97661209722813,110.87973825130742,3304.4725457570717,0,1.9961166666666667e6,13398.405165672302,12906.290028572083,13581.669373957317,331.94111227896616,,64,8,2,3,3,0
distributed,PUT,100gbps,64MiB,67108864,16092.3404553364,167.80159690564832,134.99233588235856,251.4433723417781,0,151894.33333333334,16008.148703575134,14518.211052513123,18194.398802757263,1477.6292718023487,,64,8,2,3,3,0
distributed,PUT,100gbps,512MiB,536870912,15953.673693175217,267.5418449244692,133.82911477195918,31.165564756505404,0,18852.333333333332,16070.080184459686,14865.971901480358,17418.25032272339,1101.323694527967,,64,8,2,3,3,0
distributed,PUT,100gbps,2GiB,2147483648,16543.793966715388,343.025072621718,138.77940241954045,8.003362154397257,0,4908.666666666667,16711.482711315155,15325.263580830891,17986.818776543932,1030.786043353509,,64,8,2,3,3,0
mixed,MIXED,100gbps,4MiB,4194304,18451.26172432529,497.332646859787,154.7804017107689,4612.8169569727825,0,2.786913e6,18590.753555933636,18341.09799226125,18805.94372158051,200.87901373903233,2.680921038251366,64,8,2,3,3,0
mixed,MIXED,100gbps,512MiB,536870912,19086.173802746813,472.29311544146094,160.10643025111236,37.2553739191657,0,22567.0,19368.93799606959,17464.192445023855,20791.405986340844,1423.19778473374,4.321201079234972,64,8,2,3,3,0
single,GET,100gbps,4MiB,4194304,9965.529491475665,296.0750765246786,83.5969204164287,2491.3903803131993,0,747367.6666666666,9938.503252029419,9757.626560560862,10188.925541146597,166.74203073318628,2.933479677419355,32,1,1,3,3,0
single,GET,100gbps,64MiB,67108864,10018.583029025287,895.2170273214965,84.04196574594575,156.5258517622034,0,47280.333333333336,10073.958446502686,9932.982259782157,10297.720659542085,570.8146824020811,3.3156223333333337,32,1,1,3,3,0
single,GET,100gbps,512MiB,536870912,10444.121707761113,211.7266227592472,87.61164291069854,20.394854586129753,0,6134.333333333333,10457.769762516022,10150.97247358958,10724.445980199178,227.519942535141,4.283683666666667,32,1,1,3,3,0
single,GET,100gbps,2GiB,2147483648,9997.948026652657,890.792079995152,83.8688667999627,4.805926920077544,0,1478.3333333333333,10007.549163977304,9797.005354118346,10209.013946914674,337.2532272104451,6.2711385301075255,32,1,1,3,3,0
single,PUT,100gbps,4MiB,4194304,5576.3660233245755,121.16513262324484,46.77794863418871,1394.0897867564536,0,418289.3333333333,5662.039574305217,5309.507732582092,5742.675935427348,279.3881315734061,,32,1,1,3,3,0
single,PUT,100gbps,64MiB,67108864,7099.465636608817,223.16935250168714,59.55463423498181,110.9194442561333,0,33287.333333333336,7156.90103038152,6772.329272556305,7372.283690071107,309.1785367703111,,32,1,1,3,3,0
single,PUT,100gbps,512MiB,536870912,7368.975697510974,115.752917648118,61.815448487946135,14.400447427293065,0,4329.666666666667,7372.739229520162,7221.46813364029,7513.427670351663,124.43709130218822,,32,1,1,3,3,0
single,PUT,100gbps,2GiB,2147483648,7288.437038445831,118.41301479321345,61.139841248203005,3.474202172096909,0,1080.0,7304.822495778401,7094.711902809143,7416.343227386475,211.57110352911482,,32,1,1,3,3,0
throttled,GET,10gbps,4MiB,4194304,2290.8856081023337,2.5822146167489346,19.2173413392121,572.7348242811502,0,181076.66666666666,2347.4447050094604,2318.42870165507,2366.1761821111045,234.03252430100898,11.615472274193548,64,8,2,3,3,0
throttled,GET,10gbps,64MiB,67108864,2306.196651128011,0.7000224467228829,19.34577967722564,36.049991374849064,0,12360.0,2359.361757119497,2331.5911646525064,2379.704443136851,232.4916947539178,10.45149278565133,64,8,2,3,3,0
throttled,GET,10gbps,512MiB,536870912,2346.5431551055467,1.3850320310803657,19.68423068326363,4.543541129378895,0,6464.333333333333,2361.749427318573,2336.7570610046387,2379.6817680676777,138.82157193422302,10.998569781508904,64,8,2,3,3,0
