site,size,size_bytes,eo_type,rep,upload_ms,replication_ms,replicated,integrity,throughput_mibs,poll_timeout_s
aws/ap-northeast-1,4MiB,4194304,Zarr chunk,1,88,38373,true,verified,0.10423996038881506,600
aws/ap-northeast-1,4MiB,4194304,Zarr chunk,2,339,7850,true,verified,0.5095541401273885,600
aws/ap-northeast-1,4MiB,4194304,Zarr chunk,3,339,7519,true,verified,0.5319856363878175,600
aws/ap-northeast-1,64MiB,67108864,COG tile,1,628,63122,true,verified,1.0139095719400526,600
aws/ap-northeast-1,64MiB,67108864,COG tile,2,574,65965,true,verified,0.970211475782612,600
aws/ap-northeast-1,64MiB,67108864,COG tile,3,579,68968,true,verified,0.9279665932026447,600
aws/ap-northeast-1,512MiB,536870912,Sentinel-2 granule,1,5564,518589,true,verified,0.9872943699152894,600
aws/ap-northeast-1,512MiB,536870912,Sentinel-2 granule,2,5188,518167,true,verified,0.9880984315867278,600
aws/ap-northeast-1,512MiB,536870912,Sentinel-2 granule,3,5463,484243,true,verified,1.0573203949256882,600
aws/ap-northeast-2,4MiB,4194304,Zarr chunk,1,65,40810,true,verified,0.098015192354815,600
aws/ap-northeast-2,4MiB,4194304,Zarr chunk,2,314,7366,true,verified,0.5430355688297583,600
aws/ap-northeast-2,4MiB,4194304,Zarr chunk,3,319,7365,true,verified,0.5431093007467753,600
aws/ap-northeast-2,64MiB,67108864,COG tile,1,570,56098,true,verified,1.1408606367428429,600
aws/ap-northeast-2,64MiB,67108864,COG tile,2,526,55985,true,verified,1.1431633473251763,600
aws/ap-northeast-2,64MiB,67108864,COG tile,3,530,55960,true,verified,1.143674052894925,600
aws/ap-northeast-2,512MiB,536870912,Sentinel-2 granule,1,5665,426926,true,verified,1.1992710680539485,600
aws/ap-northeast-2,512MiB,536870912,Sentinel-2 granule,2,5507,396392,true,verified,1.291650689216735,600
aws/ap-northeast-2,512MiB,536870912,Sentinel-2 granule,3,4954,426796,true,verified,1.1996363602283058,600
aws/ap-northeast-3,4MiB,4194304,Zarr chunk,1,62,38594,true,verified,0.10364305332435093,600
aws/ap-northeast-3,4MiB,4194304,Zarr chunk,2,320,7489,true,verified,0.5341167044999332,600
aws/ap-northeast-3,4MiB,4194304,Zarr chunk,3,328,13762,true,verified,0.29065542799011773,600
aws/ap-northeast-3,64MiB,67108864,COG tile,1,557,59980,true,verified,1.0670223407802601,600
aws/ap-northeast-3,64MiB,67108864,COG tile,2,572,61996,true,verified,1.0323246661074907,600
aws/ap-northeast-3,64MiB,67108864,COG tile,3,682,63192,true,verified,1.012786428661856,600
aws/ap-northeast-3,512MiB,536870912,Sentinel-2 granule,1,6302,490155,true,verified,1.0445675347594128,600
aws/ap-northeast-3,512MiB,536870912,Sentinel-2 granule,2,5484,489835,true,verified,1.0452499310992478,600
aws/ap-northeast-3,512MiB,536870912,Sentinel-2 granule,3,5009,486831,true,verified,1.051699665797782,600
aws/ap-south-1,4MiB,4194304,Zarr chunk,1,66,38577,true,verified,0.10368872644321746,600
aws/ap-south-1,4MiB,4194304,Zarr chunk,2,219,7579,true,verified,0.527774112679773,600
aws/ap-south-1,4MiB,4194304,Zarr chunk,3,221,3664,true,verified,1.091703056768559,600
aws/ap-south-1,64MiB,67108864,COG tile,1,505,32826,true,verified,1.949674038871626,600
aws/ap-south-1,64MiB,67108864,COG tile,2,466,29907,true,verified,2.139967231751764,600
aws/ap-south-1,64MiB,67108864,COG tile,3,505,29896,true,verified,2.1407546160021407,600
aws/ap-south-1,512MiB,536870912,Sentinel-2 granule,1,6338,229986,true,verified,2.2262224657153045,600
aws/ap-south-1,512MiB,536870912,Sentinel-2 granule,2,6200,231010,true,verified,2.2163542703779058,600
aws/ap-south-1,512MiB,536870912,Sentinel-2 granule,3,5182,231104,true,verified,2.215452783162559,600
aws/ap-southeast-1,4MiB,4194304,Zarr chunk,1,79,37909,true,verified,0.1055158405655649,600
aws/ap-southeast-1,4MiB,4194304,Zarr chunk,2,258,3792,true,verified,1.0548523206751055,600
aws/ap-southeast-1,4MiB,4194304,Zarr chunk,3,252,3795,true,verified,1.0540184453227932,600
aws/ap-southeast-1,64MiB,67108864,COG tile,1,561,40278,true,verified,1.588956750583445,600
aws/ap-southeast-1,64MiB,67108864,COG tile,2,576,40194,true,verified,1.5922774543464198,600
aws/ap-southeast-1,64MiB,67108864,COG tile,3,544,37400,true,verified,1.7112299465240641,600
aws/ap-southeast-1,512MiB,536870912,Sentinel-2 granule,1,6331,296430,true,verified,1.7272205917079917,600
aws/ap-southeast-1,512MiB,536870912,Sentinel-2 granule,2,5281,294761,true,verified,1.7370004851388074,600
aws/ap-southeast-1,512MiB,536870912,Sentinel-2 granule,3,4824,294841,true,verified,1.7365291801343774,600
aws/ap-southeast-2,4MiB,4194304,Zarr chunk,1,83,39341,true,verified,0.10167509722681173,600
aws/ap-southeast-2,4MiB,4194304,Zarr chunk,2,342,7753,true,verified,0.5159293176834774,600
aws/ap-southeast-2,4MiB,4194304,Zarr chunk,3,346,7754,true,verified,0.5158627805003869,600
aws/ap-southeast-2,64MiB,67108864,COG tile,1,578,61402,true,verified,1.0423113253639946,600
aws/ap-southeast-2,64MiB,67108864,COG tile,2,596,63566,true,verified,1.0068275493188181,600
aws/ap-southeast-2,64MiB,67108864,COG tile,3,613,61440,true,verified,1.0416666666666667,600
