site,rtt_ms,repl_4mib_mibs,repl_4mib_censored,repl_4mib_total,repl_4mib_is_bound,repl_4mib_ceiling_s,repl_4mib_eo_type,repl_64mib_mibs,repl_64mib_censored,repl_64mib_total,repl_64mib_is_bound,repl_64mib_ceiling_s,repl_64mib_eo_type,repl_512mib_mibs,repl_512mib_censored,repl_512mib_total,repl_512mib_is_bound,repl_512mib_ceiling_s,repl_512mib_eo_type
aws/eu-west-3,56.031,0.9557555789449363,0,3,false,600,Zarr chunk,4.66109906659603,0,3,false,600,COG tile,5.410720712998322,0,3,false,600,Sentinel-2 granule
aws/eu-west-2,59.502,0.9874887136932132,0,3,false,600,Zarr chunk,4.28460700064569,0,3,false,600,COG tile,5.073357291195744,0,3,false,600,Sentinel-2 granule
aws/eu-central-1,64.973,1.4388579926135014,0,3,false,600,Zarr chunk,4.190522050088571,0,3,false,600,COG tile,4.803253477642833,0,3,false,600,Sentinel-2 granule
gcp/europe-west8,65.308,0.5261157461203737,0,3,false,600,Zarr chunk,3.4521850029274166,0,3,false,600,COG tile,3.970120006276771,0,3,false,600,Sentinel-2 granule
gcp/europe-west2,66.293,0.8000042942060213,0,3,false,600,Zarr chunk,3.170344761166062,0,3,false,600,COG tile,3.6196080786889717,0,3,false,600,Sentinel-2 granule
gcp/europe-west3,66.395,0.8218487237032769,0,3,false,600,Zarr chunk,3.2788620224158866,0,3,false,600,COG tile,3.582035714438678,0,3,false,600,Sentinel-2 granule
aws/eu-west-1,68.898,0.9111154129561655,0,3,false,600,Zarr chunk,3.932219753234319,0,3,false,600,COG tile,4.425668053533811,0,3,false,600,Sentinel-2 granule
gcp/europe-west6,71.444,1.1381182729438106,0,3,false,600,Zarr chunk,3.1857268247873,0,3,false,600,COG tile,3.5239762126215246,0,3,false,600,Sentinel-2 granule
gcp/europe-west1,71.581,0.7928904121307211,0,3,false,600,Zarr chunk,3.03740197812804,0,3,false,600,COG tile,4.320514127636286,0,3,false,600,Sentinel-2 granule
gcp/europe-west12,71.83,0.9378185371226309,0,3,false,600,Zarr chunk,3.0840412231290553,0,3,false,600,COG tile,3.5729697612931037,0,3,false,600,Sentinel-2 granule
gcp/europe-west9,72.527,1.2186252003223104,0,3,false,600,Zarr chunk,3.0398382219713995,0,3,false,600,COG tile,3.685656785378661,0,3,false,600,Sentinel-2 granule
gcp/europe-west10,74.074,0.768117809408252,0,3,false,600,Zarr chunk,3.0593672779535654,0,3,false,600,COG tile,3.461104455275029,0,3,false,600,Sentinel-2 granule
gcp/europe-central2,82.064,0.8205645463648489,0,3,false,600,Zarr chunk,2.559386599510693,0,3,false,600,COG tile,3.049409012320924,0,3,false,600,Sentinel-2 granule
aws/eu-north-1,83.551,0.9244596355676858,0,3,false,600,Zarr chunk,3.281212839201979,0,3,false,600,COG tile,3.859070109408851,0,3,false,600,Sentinel-2 granule
gcp/europe-southwest1,89.799,0.6336313894153126,0,3,false,600,Zarr chunk,2.714864033596443,0,3,false,600,COG tile,3.3806449450181084,0,3,false,600,Sentinel-2 granule
gcp/europe-north2,90.375,0.6888792233533808,0,3,false,600,Zarr chunk,2.2441479993312523,0,3,false,600,COG tile,2.880645925616056,0,3,false,600,Sentinel-2 granule
gcp/europe-west4,93.934,1.2044964963871143,0,3,false,600,Zarr chunk,3.868208516997274,0,3,false,600,COG tile,4.92981633327613,0,3,false,600,Sentinel-2 granule
gcp/europe-north1,94.626,0.52935690012931,0,3,false,600,Zarr chunk,2.115663512305443,0,3,false,600,COG tile,2.9330078742721906,0,3,false,600,Sentinel-2 granule
aws/us-east-1,110.249,0.8878038629511965,0,3,false,600,Zarr chunk,2.5900423081092305,0,3,false,600,COG tile,2.959931332839691,0,3,false,600,Sentinel-2 granule
aws/us-east-2,123.02,0.6552958608559248,0,3,false,600,Zarr chunk,2.317790379130973,0,3,false,600,COG tile,2.5750729553451785,0,3,false,600,Sentinel-2 granule
aws/ca-central-1,127.852,0.7178488442003531,0,3,false,600,Zarr chunk,1.1867231808165613,0,3,false,600,COG tile,0.8533333333333334,3,3,true,600,Sentinel-2 granule
lamce,130.405,1.0105796031718923,0,3,false,600,Zarr chunk,1.1492262779937465,0,3,false,600,COG tile,1.0764507741685778,0,3,false,600,Sentinel-2 granule
gcp/us-east4,139.719,0.7094113220357036,0,3,false,600,Zarr chunk,1.8913282322051785,0,3,false,600,COG tile,1.8157031231957117,0,3,false,600,Sentinel-2 granule
gcp/northamerica-northeast1,142.975,0.5244621632219308,0,3,false,600,Zarr chunk,1.6804695627101236,0,3,false,600,COG tile,1.8448907996828876,0,3,false,600,Sentinel-2 granule
gcp/northamerica-northeast2,149.313,0.4541549372837999,0,3,false,600,Zarr chunk,1.5191447342890003,0,3,false,600,COG tile,1.736852204822797,0,3,false,600,Sentinel-2 granule
aws/ap-south-1,150.031,0.5743886319638499,0,3,false,600,Zarr chunk,2.0767986288751765,0,3,false,600,COG tile,2.219343173085256,0,3,false,600,Sentinel-2 granule
gcp/us-east1,150.167,0.5882980043277904,0,3,false,600,Zarr chunk,1.7600444619347837,0,3,false,600,COG tile,1.7327435830971265,0,3,false,600,Sentinel-2 granule
uwaterloo,160.764,1.1751150525398555,0,3,false,1800,Zarr chunk,1.6402055326637106,0,3,false,1800,COG tile,1.7755228924660695,0,3,false,1800,Sentinel-2 granule
ncics,165.9,0.7680336627509737,0,3,false,600,Zarr chunk,1.123631072208582,0,3,false,600,COG tile,1.29979816298228,0,3,false,600,Sentinel-2 granule
gcp/us-central1,166.105,0.6895871477464564,0,3,false,600,Zarr chunk,1.5529564566222167,0,3,false,600,COG tile,1.6621661657326126,0,3,false,600,Sentinel-2 granule
gcp/us-south1,171.114,0.6747623415037515,0,3,false,600,Zarr chunk,1.292817750593007,0,3,false,600,COG tile,1.540835548480911,0,3,false,600,Sentinel-2 granule
gcp/us-east5,176.731,0.8008653858768732,0,3,false,600,Zarr chunk,2.117736957294566,0,3,false,600,COG tile,1.9908502713439369,0,3,false,600,Sentinel-2 granule
tacc-vm,178.954,0.6231075012552083,0,3,false,300,Zarr chunk,4.454137413255514,0,3,false,900,COG tile,5.388904043148005,0,3,false,1800,Sentinel-2 granule
gcp/us-west3,179.467,0.5781966686145229,0,3,false,600,Zarr chunk,1.3591815536820173,0,3,false,600,COG tile,1.5208015524551592,0,3,false,600,Sentinel-2 granule
