site,rtt_min_ms,rtt_avg_ms,rtt_max_ms,rtt_stddev_ms,packet_loss,traceroute_hops,probe_ttfb_ms
aws/eu-west-3,55.919,56.031,56.123,0.044,0%,9,182.188
aws/eu-west-2,59.382,59.502,59.886,0.096,0%,9,195.212
aws/eu-central-1,64.89,64.973,65.007,0.024,0%,9,208.49
gcp/europe-west8,65.156,65.308,65.583,0.099,0%,9,226.34799999999998
gcp/europe-west2,66.183,66.293,66.655,0.102,0%,9,214.99699999999999
gcp/europe-west3,66.246,66.395,66.787,0.125,0%,9,213.147
aws/eu-west-1,68.814,68.898,69.571,0.158,0%,9,220.86700000000002
gcp/europe-west6,71.265,71.444,71.811,0.107,0%,9,228.722
gcp/europe-west1,65.022,71.581,75.283,3.646,5%,9,261.154
gcp/europe-west12,71.689,71.83,72.015,0.066,0%,9,227.136
gcp/europe-west9,72.437,72.527,72.696,0.073,0%,9,231.149
gcp/europe-west10,73.923,74.074,74.335,0.107,0%,9,235.206
gcp/europe-central2,81.94,82.064,82.307,0.074,0%,9,261.384
aws/eu-north-1,83.484,83.551,83.621,0.036,0%,9,263.90000000000003
gcp/europe-southwest1,89.314,89.799,95.989,1.425,0%,9,292.71599999999995
gcp/europe-north2,90.205,90.375,90.68,0.118,0%,9,285.111
gcp/europe-west4,63.882,93.934,134.526,20.889,20%,9,331.046
gcp/europe-north1,94.532,94.626,94.757,0.059,0%,9,306.589
aws/us-east-1,109.429,110.249,121.542,2.617,0%,9,342.326
aws/us-east-2,122.932,123.02,123.106,0.048,0%,9,383.022
aws/ca-central-1,127.551,127.852,128.79,0.384,0%,9,398.502
lamce,130.293,130.405,130.521,0.053,10%,1,403.22999999999996
gcp/us-east4,139.569,139.719,140.193,0.14,0%,9,439.358
gcp/northamerica-northeast1,142.034,142.975,150.49,1.973,0%,9,645.1
gcp/northamerica-northeast2,149.215,149.313,149.672,0.091,0%,9,461.709
aws/ap-south-1,149.961,150.031,150.114,0.035,0%,9,462.283
gcp/us-east1,149.935,150.167,150.637,0.161,0%,9,474.94199999999995
uwaterloo,159.869,160.764,169.272,2.167,10%,34,505.874
ncics,164.894,165.9,168.115,0.774,0%,9,525.1139999999999
gcp/us-central1,159.588,166.105,169.8,3.443,10%,9,764.747
gcp/us-south1,170.969,171.114,171.574,0.12,0%,9,524.845
gcp/us-east5,155.768,176.731,210.172,18.946,20%,9,1205.816
tacc-vm,163.413,178.954,215.623,14.226,15%,9,576.043
gcp/us-west3,179.267,179.467,179.704,0.102,0%,9,553.542
aws/us-west-1,184.097,186.259,193.956,2.941,10%,9,797.524
aws/ap-southeast-1,187.182,187.252,187.665,0.098,0%,9,573.567
gcp/us-west1,190.633,190.954,191.222,0.194,0%,9,1046.567
gcp/northamerica-south1,192.959,193.116,193.309,0.091,0%,9,593.9680000000001
aws/us-west-2,196.193,196.397,196.852,0.15,0%,9,604.2370000000001
gcp/us-west4,198.27,198.356,198.629,0.082,0%,9,628.475
gcp/us-west2,200.12,200.306,201.453,0.277,0%,9,617.1750000000001
lanot,201.412,202.167,203.075,0.572,0%,9,630.293
gcp/africa-south1,219.028,223.647,308.312,19.423,0%,9,952.611
aws/sa-east-1,234.213,240.691,251.886,4.716,0%,9,748.616
aws/ap-northeast-2,248.386,248.496,248.867,0.091,0%,9,757.4119999999999
gcp/southamerica-west1,252.097,252.198,252.326,0.056,0%,9,765.9359999999999
gcp/southamerica-east1,252.395,253.295,261.273,2.025,5%,9,788.419
aws/ap-northeast-1,253.31,256.78,272.423,5.082,0%,9,800.357
aws/ap-northeast-3,258.11,258.22,258.529,0.079,0%,9,788.798
iff,260.12,262.049,264.887,1.733,0%,35,806.232
aws/ap-southeast-2,277.926,278.037,278.454,0.101,0%,9,849.173
gcp/asia-northeast1,283.962,284.105,284.652,0.144,0%,9,873.265
gcp/asia-east2,285.587,287.777,295.704,3.26,15%,9,1278.618
gcp/asia-southeast1,286.998,288.105,296.614,2.271,5%,9,1573.221
nasrda,115.969,291.157,2817.023,596.242,0%,9,1035.948
gcp/asia-east1,293.724,295.043,303.748,2.707,5%,9,913.408
gcp/asia-southeast2,297.62,297.776,298.222,0.115,0%,9,911.35
gcp/asia-northeast2,298.301,298.464,299.181,0.187,0%,9,901.9639999999999
gcp/asia-south1,306.095,306.274,306.517,0.095,0%,9,2284.046
gcp/asia-northeast3,310.487,310.588,310.764,0.061,0%,9,1337.326
gcp/asia-south2,316.329,316.474,316.694,0.072,0%,9,1407.0549999999998
gcp/australia-southeast2,325.025,325.207,325.725,0.137,0%,9,1739.517
gcp/australia-southeast1,326.333,326.528,328.247,0.404,0%,9,2021.452
